ISO code,year,value
AND,2021,3324648076
AND,2022,3380611695
AND,2023,3785065525
AND,2024,4039842405
AND,2025,
ARB,2000,7.634E+11
ARB,2001,7.44723E+11
ARB,2002,7.46651E+11
ARB,2003,8.30076E+11
ARB,2004,9.87305E+11
ARB,2005,1.21008E+12
ARB,2006,1.43946E+12
ARB,2007,1.67464E+12
ARB,2008,2.11807E+12
ARB,2009,1.82985E+12
ARB,2010,2.1614E+12
ARB,2011,2.57307E+12
ARB,2012,2.81357E+12
ARB,2013,2.88369E+12
ARB,2014,2.93704E+12
ARB,2015,2.58033E+12
ARB,2016,2.53656E+12
ARB,2017,2.61132E+12
ARB,2018,2.92083E+12
ARB,2019,2.96529E+12
ARB,2020,2.6041E+12
ARB,2021,3.08514E+12
ARB,2022,3.74742E+12
ARB,2023,3.6225E+12
ARB,2024,3.73588E+12
ARB,2025,
ARE,2000,1.04337E+11
ARE,2001,1.03312E+11
ARE,2002,1.09816E+11
ARE,2003,1.24346E+11
ARE,2004,1.47824E+11
ARE,2005,1.80617E+11
ARE,2006,2.22117E+11
ARE,2007,2.57916E+11
ARE,2008,3.15475E+11
ARE,2009,2.53547E+11
ARE,2010,3.07736E+11
ARE,2011,3.68881E+11
ARE,2012,3.92793E+11
ARE,2013,4.09633E+11
ARE,2014,4.24936E+11
ARE,2015,3.81973E+11
ARE,2016,3.81717E+11
ARE,2017,4.03365E+11
ARE,2018,4.4056E+11
ARE,2019,4.33926E+11
ARE,2020,3.57162E+11
ARE,2021,4.22441E+11
ARE,2022,5.11403E+11
ARE,2023,5.22622E+11
ARE,2024,5.52325E+11
ARE,2025,
ARG,2000,2.84204E+11
ARG,2001,2.68697E+11
ARG,2002,97724004252
ARG,2003,1.27587E+11
ARG,2004,1.64658E+11
ARG,2005,1.98737E+11
ARG,2006,2.32557E+11
ARG,2007,2.87531E+11
ARG,2008,3.61558E+11
ARG,2009,3.32976E+11
ARG,2010,4.23627E+11
ARG,2011,5.30158E+11
ARG,2012,5.45982E+11
ARG,2013,5.52025E+11
ARG,2014,5.2632E+11
ARG,2015,5.94749E+11
ARG,2016,5.57532E+11
ARG,2017,6.43628E+11
ARG,2018,5.2482E+11
ARG,2019,4.47755E+11
ARG,2020,3.85741E+11
ARG,2021,4.86564E+11
ARG,2022,6.33994E+11
ARG,2023,6.49462E+11
ARG,2024,6.38365E+11
ARG,2025,
ARM,2000,1911563669
ARM,2001,2118467913
ARM,2002,2376335048
ARM,2003,2807061009
ARM,2004,3576615240
ARM,2005,4900469511
ARM,2006,6384452067
ARM,2007,9206301270
ARM,2008,11662040714
ARM,2009,8647937081
ARM,2010,9260285756
ARM,2011,10142111825
ARM,2012,10619320683
ARM,2013,11121464437
ARM,2014,11609513247
ARM,2015,10553337518
ARM,2016,10546136236
ARM,2017,11527458709
ARM,2018,12457940695
ARM,2019,13619290539
ARM,2020,12641698583
ARM,2021,13878908629
ARM,2022,19513506553
ARM,2023,24185982216
ARM,2024,25955275380
ARM,2025,
ASM,2000,
ASM,2001,
ASM,2002,512000000
ASM,2003,524000000
ASM,2004,509000000
ASM,2005,500000000
ASM,2006,493000000
ASM,2007,518000000
ASM,2008,560000000
ASM,2009,675000000
ASM,2010,573000000
ASM,2011,570000000
ASM,2012,640000000
ASM,2013,638000000
ASM,2014,643000000
ASM,2015,673000000
ASM,2016,671000000
ASM,2017,612000000
ASM,2018,639000000
ASM,2019,647000000
ASM,2020,721000000
ASM,2021,750000000
ASM,2022,871000000
ASM,2023,
ASM,2024,
ASM,2025,
ATG,2000,901003703.7
ATG,2001,877774074.1
ATG,2002,898092592.6
ATG,2003,948100000
ATG,2004,1026329630
ATG,2005,1143896296
ATG,2006,1303674074
ATG,2007,1487381481
ATG,2008,1557640741
ATG,2009,1386518519
ATG,2010,1298348148
ATG,2011,1287359259
ATG,2012,1364729630
ATG,2013,1325496296
ATG,2014,1378707407
ATG,2015,1437485185
ATG,2016,1489603704
ATG,2017,1534855556
ATG,2018,1661529630
ATG,2019,1726448148
ATG,2020,1411637037
ATG,2021,1602125926
ATG,2022,1866566667
ATG,2023,2005785185
ATG,2024,2207622874
ATG,2025,
AUS,2000,4.16902E+11
AUS,2001,3.8036E+11
AUS,2002,3.96437E+11
AUS,2003,4.68517E+11
AUS,2004,6.15643E+11
AUS,2005,6.96811E+11
AUS,2006,7.49708E+11
AUS,2007,8.56604E+11
AUS,2008,1.05845E+12
AUS,2009,9.31762E+11
AUS,2010,1.15257E+12
AUS,2011,1.40294E+12
AUS,2012,1.55273E+12
AUS,2013,1.58374E+12
AUS,2014,1.47468E+12
AUS,2015,1.35681E+12
AUS,2016,1.21159E+12
AUS,2017,1.33089E+12
AUS,2018,1.43314E+12
AUS,2019,1.39835E+12
AUS,2020,1.33334E+12
AUS,2021,1.56062E+12
AUS,2022,1.69563E+12
AUS,2023,1.73445E+12
AUS,2024,1.75702E+12
AUS,2025,
AUT,2000,1.96182E+11
AUT,2001,1.96477E+11
AUT,2002,2.12837E+11
AUT,2003,2.6078E+11
AUT,2004,2.9921E+11
AUT,2005,3.13952E+11
AUT,2006,3.33906E+11
AUT,2007,3.8676E+11
AUT,2008,4.29234E+11
AUT,2009,3.9929E+11
AUT,2010,3.89828E+11
AUT,2011,4.28955E+11
AUT,2012,4.0675E+11
AUT,2013,4.26581E+11
AUT,2014,4.38556E+11
AUT,2015,3.79546E+11
AUT,2016,3.93687E+11
AUT,2017,4.14926E+11
AUT,2018,4.52582E+11
AUT,2019,4.42984E+11
AUT,2020,4.34398E+11
AUT,2021,4.80466E+11
AUT,2022,4.73221E+11
AUT,2023,5.16671E+11
AUT,2024,5.34791E+11
AUT,2025,
AZE,2000,5272615723
AZE,2001,5707616204
AZE,2002,6236087738
AZE,2003,7276413079
AZE,2004,8680405741
AZE,2005,13245421881
AZE,2006,20981929498
AZE,2007,33049419431
AZE,2008,48851293785
AZE,2009,44292427185
AZE,2010,52909294792
AZE,2011,65952796428
AZE,2012,69679944504
AZE,2013,74160560124
AZE,2014,75239785452
AZE,2015,53076235355
AZE,2016,37866996883
AZE,2017,40866627352
AZE,2018,47112470052
AZE,2019,48174235294
AZE,2020,42693000000
AZE,2021,54825411765
AZE,2022,78807470588
AZE,2023,72428470588
AZE,2024,74315882353
AZE,2025,
BDI,2000,870486065.9
BDI,2001,876794723.1
BDI,2002,825394519.4
BDI,2003,784654423.6
BDI,2004,915257323.4
BDI,2005,1117113080
BDI,2006,1273375078
BDI,2007,1356199387
BDI,2008,1611835857
BDI,2009,1775495032
BDI,2010,2032135192
BDI,2011,2235812880
BDI,2012,2327402363
BDI,2013,2451624638
BDI,2014,2705826648
BDI,2015,2810532912
BDI,2016,2618093125
BDI,2017,2831362208
BDI,2018,2913411408
BDI,2019,2871555326
BDI,2020,3227847281
BDI,2021,3435598073
BDI,2022,4036192553
BDI,2023,3430949250
BDI,2024,3082433067
BDI,2025,
BEL,2000,2.36792E+11
BEL,2001,2.36746E+11
BEL,2002,2.58384E+11
BEL,2003,3.18083E+11
BEL,2004,3.69215E+11
BEL,2005,3.85715E+11
BEL,2006,4.0826E+11
BEL,2007,4.70922E+11
BEL,2008,5.17328E+11
BEL,2009,4.85015E+11
BEL,2010,4.81557E+11
BEL,2011,5.27197E+11
BEL,2012,4.98414E+11
BEL,2013,5.24097E+11
BEL,2014,5.37987E+11
BEL,2015,4.61045E+11
BEL,2016,4.74272E+11
BEL,2017,5.00909E+11
BEL,2018,5.42639E+11
BEL,2019,5.36726E+11
BEL,2020,5.29694E+11
BEL,2021,5.98522E+11
BEL,2022,5.91086E+11
BEL,2023,6.51331E+11
BEL,2024,6.7137E+11
BEL,2025,
BEN,2000,3519991440
BEN,2001,3666222635
BEN,2002,4194342686
BEN,2003,5349258094
BEN,2004,6190270380
BEN,2005,6567654954
BEN,2006,7034111315
BEN,2007,8169048383
BEN,2008,9787734526
BEN,2009,9738626517
BEN,2010,9535345016
BEN,2011,10693321364
BEN,2012,11141358116
BEN,2013,12517845124
BEN,2014,13284527847
BEN,2015,11388160997
BEN,2016,11821065853
BEN,2017,12701655837
BEN,2018,14262408090
BEN,2019,14391686313
BEN,2020,15686741884
BEN,2021,17687623530
BEN,2022,17425405091
BEN,2023,19673291004
BEN,2024,21482643706
BEN,2025,
BFA,2000,2968370088
BFA,2001,3190371081
BFA,2002,3622350063
BFA,2003,4740768143
BFA,2004,5451688538
BFA,2005,6146353173
BFA,2006,6547419820
BFA,2007,7625722837
BFA,2008,9451435490
BFA,2009,9450696873
BFA,2010,10109619741
BFA,2011,12080295978
BFA,2012,12561015157
BFA,2013,13444300486
BFA,2014,13943016077
BFA,2015,11832159316
BFA,2016,12833363045
BFA,2017,14106955615
BFA,2018,15890066221
BFA,2019,16032813503
BFA,2020,17725010533
BFA,2021,19697516284
BFA,2022,18622421395
BFA,2023,20112614449
BFA,2024,23124729853
BFA,2025,
BGD,2000,53369787319
BGD,2001,53991289844
BGD,2002,54724081491
BGD,2003,60158929188
BGD,2004,65108544250
BGD,2005,69476001239
BGD,2006,71795736172
BGD,2007,79611644975
BGD,2008,91636997371
BGD,2009,1.02475E+11
BGD,2010,1.15276E+11
BGD,2011,1.28607E+11
BGD,2012,1.33311E+11
BGD,2013,1.49999E+11
BGD,2014,1.72887E+11
BGD,2015,1.95147E+11
BGD,2016,2.65225E+11
BGD,2017,2.93732E+11
BGD,2018,3.21363E+11
BGD,2019,3.51232E+11
BGD,2020,3.73979E+11
BGD,2021,4.16272E+11
BGD,2022,4.60132E+11
BGD,2023,4.37415E+11
BGD,2024,4.50119E+11
BGD,2025,
BGR,2000,13245990274
BGR,2001,14183446026
BGR,2002,16403043850
BGR,2003,21144957990
BGR,2004,26157743369
BGR,2005,29868657858
BGR,2006,34380536496
BGR,2007,44431257129
BGR,2008,54480684188
BGR,2009,52023801230
BGR,2010,50689051382
BGR,2011,57681293007
BGR,2012,54297052002
BGR,2013,55819262375
BGR,2014,57080897012
BGR,2015,50765918159
BGR,2016,53929397039
BGR,2017,59167647388
BGR,2018,66097226262
BGR,2019,68507731354
BGR,2020,70486877546
BGR,2021,84374613233
BGR,2022,90506153294
BGR,2023,1.02199E+11
BGR,2024,1.13343E+11
BGR,2025,
BHR,2000,9062898936
BHR,2001,8976196809
BHR,2002,9593510638
BHR,2003,11074813830
BHR,2004,13150159574
BHR,2005,15968723404
BHR,2006,18504760638
BHR,2007,21730000000
BHR,2008,25710904255
BHR,2009,22938218085
BHR,2010,26805984043
BHR,2011,29914680851
BHR,2012,31963404255
BHR,2013,33823324468
BHR,2014,34772526596
BHR,2015,32523297872
BHR,2016,33884680851
BHR,2017,37204813830
BHR,2018,39567978723
BHR,2019,40446808511
BHR,2020,35837632979
BHR,2021,40840212766
BHR,2022,46458191489
BHR,2023,46192260638
BHR,2024,47109734309
BHR,2025,
BHS,2000,8076470000
BHS,2001,8317830000
BHS,2002,8881160000
BHS,2003,8870090000
BHS,2004,9055290000
BHS,2005,9836200000
BHS,2006,10167250000
BHS,2007,10618340000
BHS,2008,10526000000
BHS,2009,9981960000
BHS,2010,10095760000
BHS,2011,10070450000
BHS,2012,10720400000
BHS,2013,10475300000
BHS,2014,11139100000
BHS,2015,11837600000
BHS,2016,11880900000
BHS,2017,12446900000
BHS,2018,12819200000
BHS,2019,13277000000
BHS,2020,10363200000
BHS,2021,12037000000
BHS,2022,13896800000
BHS,2023,15271300000
BHS,2024,15832800000
BHS,2025,
BIH,2000,5567772769
BIH,2001,5800615375
BIH,2002,6728220983
BIH,2003,8498894359
BIH,2004,10156541221
BIH,2005,11222796337
BIH,2006,12864841906
BIH,2007,15778734264
BIH,2008,19112796623
BIH,2009,17613949091
BIH,2010,17176315804
BIH,2011,18644233537
BIH,2012,17226735996
BIH,2013,18179109209
BIH,2014,18558734107
BIH,2015,16404348361
BIH,2016,17116926554
BIH,2017,18326373136
BIH,2018,20484058033
BIH,2019,20482608984
BIH,2020,20226038370
BIH,2021,23672712121
BIH,2022,24534663636
BIH,2023,27592361498
BIH,2024,29613572023
BIH,2025,
BLR,2000,12736856828
BLR,2001,12354820144
BLR,2002,14594900945
BLR,2003,17825444724
BLR,2004,23141566293
BLR,2005,30210091837
BLR,2006,36961894281
BLR,2007,45275711996
BLR,2008,60752106347
BLR,2009,50873167326
BLR,2010,57231904543
BLR,2011,61762382328
BLR,2012,65685890439
BLR,2013,75527558966
BLR,2014,78813069121
BLR,2015,56454769845
BLR,2016,47723545321
BLR,2017,54725405751
BLR,2018,60031026576
BLR,2019,64410170653
BLR,2020,61371673345
BLR,2021,69673747132
BLR,2022,73775179925
BLR,2023,72478760370
BLR,2024,75961865472
BLR,2025,
BLZ,2000,1138138100
BLZ,2001,1172045150
BLZ,2002,1243912050
BLZ,2003,1308280250
BLZ,2004,1400202000
BLZ,2005,1474298400
BLZ,2006,1590463100
BLZ,2007,1706190450
BLZ,2008,1738453600
BLZ,2009,1688012750
BLZ,2010,1748988400
BLZ,2011,1831576700
BLZ,2012,1917083500
BLZ,2013,2035191450
BLZ,2014,2138242200
BLZ,2015,2193095150
BLZ,2016,2239604950
BLZ,2017,2266028250
BLZ,2018,2285915050
BLZ,2019,2381187850
BLZ,2020,2047284600
BLZ,2021,2428606250
BLZ,2022,2846604350
BLZ,2023,3052362650
BLZ,2024,3203631800
BLZ,2025,
BMU,2000,3480219000
BMU,2001,3680483000
BMU,2002,3937228000
BMU,2003,4186525000
BMU,2004,4484703000
BMU,2005,4868136000
BMU,2006,6144000000
BMU,2007,6767000000
BMU,2008,6980000000
BMU,2009,6656000000
BMU,2010,6634526000
BMU,2011,6312691000
BMU,2012,6378188000
BMU,2013,6465756000
BMU,2014,6413988000
BMU,2015,6654541000
BMU,2016,6899911000
BMU,2017,7142316000
BMU,2018,7225977000
BMU,2019,7423465000
BMU,2020,6887364000
BMU,2021,7290037000
BMU,2022,7874381000
BMU,2023,8579242000
BMU,2024,9233600000
BMU,2025,
BOL,2000,8397855485
BOL,2001,8141516928
BOL,2002,7905485146
BOL,2003,8082399640
BOL,2004,8773451752
BOL,2005,9549122905
BOL,2006,11451844902
BOL,2007,13120108008
BOL,2008,16674276286
BOL,2009,17339992194
BOL,2010,19649723722
BOL,2011,23963164697
BOL,2012,27084497482
BOL,2013,30659338886
BOL,2014,32996188017
BOL,2015,33000198249
BOL,2016,33941126194
BOL,2017,45927439595
BOL,2018,48414038842
BOL,2019,49056643589
BOL,2020,42313784081
BOL,2021,47877892402
BOL,2022,50959081954
BOL,2023,52340206946
BOL,2024,54881327453
BOL,2025,
BRA,2000,6.55448E+11
BRA,2001,5.59984E+11
BRA,2002,5.09795E+11
BRA,2003,5.58234E+11
BRA,2004,6.69289E+11
BRA,2005,8.91634E+11
BRA,2006,1.10763E+12
BRA,2007,1.39711E+12
BRA,2008,1.69586E+12
BRA,2009,1.667E+12
BRA,2010,2.20884E+12
BRA,2011,2.61616E+12
BRA,2012,2.46523E+12
BRA,2013,2.47282E+12
BRA,2014,2.45604E+12
BRA,2015,1.80221E+12
BRA,2016,1.79569E+12
BRA,2017,2.06351E+12
BRA,2018,1.91693E+12
BRA,2019,1.87329E+12
BRA,2020,1.47611E+12
BRA,2021,1.67065E+12
BRA,2022,1.95192E+12
BRA,2023,2.19113E+12
BRA,2024,2.18582E+12
BRA,2025,
BRB,2000,3059500000
BRB,2001,3054500000
BRB,2002,3106500000
BRB,2003,3209500000
BRB,2004,3444500000
BRB,2005,3819500000
BRB,2006,4217323400
BRB,2007,4675767950
BRB,2008,4790410400
BRB,2009,4466809600
BRB,2010,5672900000
BRB,2011,5663100000
BRB,2012,5761450000
BRB,2013,5667200000
BRB,2014,5620600000
BRB,2015,5698150000
BRB,2016,5674600000
BRB,2017,5683150000
BRB,2018,6001950000
BRB,2019,6161850000
BRB,2020,5407050000
BRB,2021,5947550000
BRB,2022,6884900000
BRB,2023,7223250000
BRB,2024,7498050000
BRB,2025,
BRN,2000,6570999088
BRN,2001,6096155767
BRN,2002,6333082876
BRN,2003,7167725262
BRN,2004,8619178774
BRN,2005,10547202621
BRN,2006,12644616419
BRN,2007,13432029484
BRN,2008,15926456515
BRN,2009,11912904510
BRN,2010,13707121038
BRN,2011,18524791063
BRN,2012,19048443341
BRN,2013,18094148099
BRN,2014,17097797386
BRN,2015,12930296870
BRN,2016,11400266045
BRN,2017,12128168045
BRN,2018,13566908391
BRN,2019,13469235365
BRN,2020,12005799654
BRN,2021,14006496617
BRN,2022,16681536467
BRN,2023,15095084656
BRN,2024,15340808592
BRN,2025,
BTN,2000,460733418.4
BTN,2001,496110225.7
BTN,2002,559345263.7
BTN,2003,651935430.3
BTN,2004,735348490.4
BTN,2005,860391000.2
BTN,2006,942879878.5
BTN,2007,1255767964
BTN,2008,1317517835
BTN,2009,1331343798
BTN,2010,1708880730
BTN,2011,1977728659
BTN,2012,1973387228
BTN,2013,1943696952
BTN,2014,2089079571
BTN,2015,2187815803
BTN,2016,2357504761
BTN,2017,2591358009
BTN,2018,2583335722
BTN,2019,2735683570
BTN,2020,2457604334
BTN,2021,2768802960
BTN,2022,2898227744
BTN,2023,3012896789
BTN,2024,
BTN,2025,
BWA,2000,5788329609
BWA,2001,5489608300
BWA,2002,5438863983
BWA,2003,7511582173
BWA,2004,8957467707
BWA,2005,9918907108
BWA,2006,9919158482
BWA,2007,10567270656
BWA,2008,10730829116
BWA,2009,10118459242
BWA,2010,12637273429
BWA,2011,15110643612
BWA,2012,13907464500
BWA,2013,14271738933
BWA,2014,15470088501
BWA,2015,13530748845
BWA,2016,15082637184
BWA,2017,16105155857
BWA,2018,17031943186
BWA,2019,16725908149
BWA,2020,14960251608
BWA,2021,18750182236
BWA,2022,20321150599
BWA,2023,19411266967
BWA,2024,19402063513
BWA,2025,
CAF,2000,916777282.7
CAF,2001,932648604.8
CAF,2002,996068144.9
CAF,2003,1142315523
CAF,2004,1272360517
CAF,2005,1337894379
CAF,2006,1461859762
CAF,2007,1699811295
CAF,2008,1993407888
CAF,2009,2067381665
CAF,2010,2142591540
CAF,2011,2437982705
CAF,2012,2510126512
CAF,2013,1691544110
CAF,2014,1894813389
CAF,2015,1695825714
CAF,2016,1825018145
CAF,2017,2072349973
CAF,2018,2220979146
CAF,2019,2221301351
CAF,2020,2326720900
CAF,2021,2516498412
CAF,2022,2382618615
CAF,2023,2555492086
CAF,2024,2751494281
CAF,2025,
CAN,2000,7.44773E+11
CAN,2001,7.38982E+11
CAN,2002,7.60649E+11
CAN,2003,8.95541E+11
CAN,2004,1.02669E+12
CAN,2005,1.17311E+12
CAN,2006,1.31926E+12
CAN,2007,1.46882E+12
CAN,2008,1.55299E+12
CAN,2009,1.37463E+12
CAN,2010,1.61734E+12
CAN,2011,1.79333E+12
CAN,2012,1.82837E+12
CAN,2013,1.8466E+12
CAN,2014,1.80575E+12
CAN,2015,1.55651E+12
CAN,2016,1.52799E+12
CAN,2017,1.64927E+12
CAN,2018,1.72533E+12
CAN,2019,1.74373E+12
CAN,2020,1.65568E+12
CAN,2021,2.02238E+12
CAN,2022,2.19041E+12
CAN,2023,2.17334E+12
CAN,2024,2.24364E+12
CAN,2025,
CEB,2000,4.29413E+11
CEB,2001,4.69501E+11
CEB,2002,5.28525E+11
CEB,2003,6.34291E+11
CEB,2004,7.6349E+11
CEB,2005,8.85716E+11
CEB,2006,1.00131E+12
CEB,2007,1.26426E+12
CEB,2008,1.53026E+12
CEB,2009,1.28926E+12
CEB,2010,1.31944E+12
CEB,2011,1.45816E+12
CEB,2012,1.3619E+12
CEB,2013,1.42022E+12
CEB,2014,1.46745E+12
CEB,2015,1.29714E+12
CEB,2016,1.32156E+12
CEB,2017,1.4675E+12
CEB,2018,1.65638E+12
CEB,2019,1.68432E+12
CEB,2020,1.67829E+12
CEB,2021,1.92635E+12
CEB,2022,1.95442E+12
CEB,2023,2.27321E+12
CEB,2024,2.46201E+12
CEB,2025,
CHE,2000,2.79216E+11
CHE,2001,2.86583E+11
CHE,2002,3.09301E+11
CHE,2003,3.62075E+11
CHE,2004,4.03913E+11
CHE,2005,4.18285E+11
CHE,2006,4.41635E+11
CHE,2007,4.90741E+11
CHE,2008,5.67268E+11
CHE,2009,5.54213E+11
CHE,2010,5.98851E+11
CHE,2011,7.15888E+11
CHE,2012,6.8642E+11
CHE,2013,7.06235E+11
CHE,2014,7.26538E+11
CHE,2015,6.94118E+11
CHE,2016,6.87895E+11
CHE,2017,6.95201E+11
CHE,2018,7.25569E+11
CHE,2019,7.21369E+11
CHE,2020,7.41999E+11
CHE,2021,8.15309E+11
CHE,2022,8.28509E+11
CHE,2023,8.94425E+11
CHE,2024,9.36564E+11
CHE,2025,
CHI,2000,6439703435
CHI,2001,6232906290
CHI,2002,6663669065
CHI,2003,7332244898
CHI,2004,8553643354
CHI,2005,8827272727
CHI,2006,9676172953
CHI,2007,11514605842
CHI,2008,
CHI,2009,9100755725
CHI,2010,8902359316
CHI,2011,9648680026
CHI,2012,9454638123
CHI,2013,9594745811
CHI,2014,10527973278
CHI,2015,10109273770
CHI,2016,9168857222
CHI,2017,9170044517
CHI,2018,10026394044
CHI,2019,10031864649
CHI,2020,9439810769
CHI,2021,11157540110
CHI,2022,11308272505
CHI,2023,12507320838
CHI,2024,
CHI,2025,
CHL,2000,78339750721
CHL,2001,71574739561
CHL,2002,70264045939
CHL,2003,76492579644
CHL,2004,99075985774
CHL,2005,1.22294E+11
CHL,2006,1.53844E+11
CHL,2007,1.72491E+11
CHL,2008,1.79895E+11
CHL,2009,1.71778E+11
CHL,2010,2.17051E+11
CHL,2011,2.51383E+11
CHL,2012,2.67025E+11
CHL,2013,2.77395E+11
CHL,2014,2.59561E+11
CHL,2015,2.4245E+11
CHL,2016,2.49345E+11
CHL,2017,2.76154E+11
CHL,2018,2.95858E+11
CHL,2019,2.78285E+11
CHL,2020,2.54042E+11
CHL,2021,3.15326E+11
CHL,2022,3.01227E+11
CHL,2023,3.35518E+11
CHL,2024,3.30267E+11
CHL,2025,
CHN,2000,1.22375E+12
CHN,2001,1.35504E+12
CHN,2002,1.48982E+12
CHN,2003,1.6839E+12
CHN,2004,1.9842E+12
CHN,2005,2.31755E+12
CHN,2006,2.7915E+12
CHN,2007,3.60406E+12
CHN,2008,4.66735E+12
CHN,2009,5.18958E+12
CHN,2010,6.19256E+12
CHN,2011,7.67176E+12
CHN,2012,8.67366E+12
CHN,2013,9.74312E+12
CHN,2014,1.06745E+13
CHN,2015,1.12808E+13
CHN,2016,1.1456E+13
CHN,2017,1.25376E+13
CHN,2018,1.41478E+13
CHN,2019,1.45602E+13
CHN,2020,1.49964E+13
CHN,2021,1.82017E+13
CHN,2022,1.83168E+13
CHN,2023,1.82704E+13
CHN,2024,1.87438E+13
CHN,2025,
CIV,2000,16577533892
CIV,2001,16810537044
CIV,2002,18054383321
CIV,2003,21251754340
CIV,2004,23510575681
CIV,2005,24036918703
CIV,2006,25281413263
CIV,2007,28760090953
CIV,2008,34078240293
CIV,2009,33886813250
CIV,2010,34936307980
CIV,2011,36693710801
CIV,2012,36302302877
CIV,2013,42760235485
CIV,2014,48843005614
CIV,2015,45815005169
CIV,2016,48407761037
CIV,2017,52512343997
CIV,2018,58522477787
CIV,2019,60382894697
CIV,2020,63027852805
CIV,2021,72794636654
CIV,2022,70922824814
